STUDENT NAME,GENDER,UID,D.O.B,RELIGION,BRANCH,SECTION,SEMESTER,HOSTEL,ROOM NO.,PHONE NO.,EMAIL,ADDRESS,STATE
ADITYA RUHELA,MALE,21BCS1945,22-02-2003,HINDU,CSE,201,1st,NC-3,901,7310183132,adityaruhela05@gmail.com,"LAKHIMPUR KHERI, UP",UP
ROHAN JAISWAL,MALE,21BCS2856,06-09-2003,HINDU,CSE,201,1st,ZAKIR-A,914,7033007656,rohanjaiswal511@gmail.com,"MOTIHARI, BR",BR
ADITYA BARNWAL,MALE,21BCS2730,01-11-1999,HINDU,CSE,201,1st,ZAKIR-A,907,8470843231,adityabaranwal@gmail.com,"HATA, GORAKHPUR, UP",UP
MANAS TIWARI,MALE,21BCS1965,13-10-2002,HINDU,CSE,176,1st,NC-3,512,9706146261,manastiwari@gmail.com,"YAMUNANAGAR, HR",HR
AMAN SHARMA ,MALE,21BCS2737,15-02-2003,HINDU,AIML,101,2nd,NC-2,315,8137565004,amansharma@gmail.com,"LKO, UP",UP
ADARSH THAKUR,MALE,21BCS2790,21-10-1998,HINDU,AIML,110,2nd,ZAKIR-B,906,9739244121,adarshthakur@gmail.com,"MOTIHARI, BR",BR
SPARSH VERMA,MALE,21BCS2843,19-03-2001,HINDU,CLOUD COMPUTING,201,2nd,ZAKIR-B,904,6619181072,sparshverma@gmail.com,"MOTIHARI, BR",BR
RAGHAV SHARMA,MALE,21BCS2880,01-09-2003,HINDU,CLOUD COMPUTING,176,3rd,NC-2,910,9524013341,raghavsharma@gmail.com,"GANDINAGAR, JK",JK
SUMAN KUMAR,MALE,21BCS3098,27-12-2002,HINDU,AIML,110,3rd,NC-3,410,2155787653,sumankumar@gmail.com,"LKO, UP",UP
BHAVYA SHARMA,MALE,21BCS3115,28-08-1995,HINDU,AIML,111,1st,NC-3,110,5104628296,bhavyasharma@gmail.com,"LAKHIMPUR KHERI, UP",UP
EKTA ARORA,FEMALE,21BCS3155,09-04-2003,HINDU,CSE,126,1st,SUKHNA,123,81189479195,ektaarora@gmail.com,"GOLA, UP",UP
SATYAM BHARTI,MALE,21BCS3240,22-06-1999,HINDU,CSE,110,1st,NC-1,105,8592074679,satyambharti@gmail.com,"MOTIHARI, BR",BR
SATYAM SINGH,MALE,21BCS3280,20-03-1995,HINDU,CLOUD COMPUTING,201,2nd,ZAKIR-A,501,8189786830,satyamsingh@gmail.com,"YAMUNANAGAR, HR",HR
ADARSH SINGH,MALE,21BCS3296,21-05-2000,HINDU,CLOUD COMPUTING,201,4th,ZAKIR-A,601,6063790611,adarshsingh@gmaill.com,"GANDINAGAR, JK",JK
MOHIT SRIVASTAV,MALE,21BCS3312,28-10-2004,HINDU,AERONAUTICAL,176,4th,NC-3,603,2162836949,mohitsrivastav@gmail.com,"HISAR, HR",HR
ADITYA YADAV,MALE,21BCS3332,27-04-2002,HINDU,GRAPHIC AND VISUAL,110,3rd,NC-2,612,8285152800,adityayadav@gmail.com,"HISAR, HR",HR
SHIVAM RAI,MALE,21BCS3384,10-08-2003,HINDU,CLOUD COMPUTING,101,3rd,ZAKIR-B,610,8702874633,shivamrai@gmail.com,"GOLA, UP",UP
NAKUL SHANGVAL,MALE,21BCS3412,19-01-1997,HINDU,GRAPHIC AND VISUAL,126,2nd,LC-1,615,9095098297,nakulshangval@gmail.com,"LKO, UP",UP
MANISH YADAV,MALE,21BCS3473,17-11-2001,HINDU,GRAPHIC AND VISUAL,126,1st,LC-1,631,8706814939,manishyadav@gmail.com,"SECTOR22, CHD",CHD
MOH. ALI,MALE,21BCS3494,02-04-2002,MUSLIM,GRAPHIC AND VISUAL,176,1st,LC-1,115,7172489229,mohali@gmail.com,"SECTOR23, CHD",CHD
MOHIT SRIVASTAV,MALE,21BCS7013,06-12-2000,HINDU,AERONAUTICAL,110,2nd,LC-2,301,5129658414,mohitsrivastav@gmail.com,"LAKHIMPUR KHERI, UP",UP
ANIRUDH SHARMA,MALE,21BCS7015,24-08-1998,HINDU,AIML,101,2nd,LC-2,302,9797773546,anirudhsharma@gmail.com,"MOTIHARI, BR",BR
YASHITA SINGH,FEMALE,21BCS7029,27-02-2001,HINDU,AIML,201,4th,SUKHNA,112,8043033578,yashitasingh@gmail.com,"LKO, UP",UP
INDARJEET KAUR,FEMALE,21BCS7035,27-03-2002,SIKHISM,AERONAUTICAL,201,4th,TAGORE,221,8178921020,indarjeetkaur@gmail.com,"HISAR, HR",HR
LOVEPREET KAUR,FEMALE,21BCS7036,09-05-1999,SIKHISM,AERONAUTICAL,201,1st,SUKHNA,113,7863443178,lovepreet@gmail.com,"YAMUNANAGAR, HR",HR
ZAINAB HUSSAIN,FEMALE,21BCS7053,18-09-2004,MUSLIM,CSE,126,2nd,TAGORE,222,4066770176,zainabhussain@gmail.com,"GANDINAGAR, JK",JK
PRANJAL SINGH,FEMALE,21BCS7107,11-02-1995,HINDU,CSE,126,3rd,TAGORE,220,3093562682,pranjalsingh@gmail.com,"GOLA, UP",UP
ADITI TIWARI,FEMALE,21BCS7126,12-10-2004,HINDU,AIML,111,2nd,DAY SCHOLAR,114,2022379017,adititiwari@gmail.com,"SECTOR22, CHD",CHD
DIYA VERMA,FEMALE,21BCS7166,12-06-2004,HINDU,CLOUD COMPUTING,111,2nd,DAY SCHOLAR,115,6173505229,diyaverma@gmail.com,"SECTOR23, CHD",CHD
AKRITI SINGH,FEMALE,21BCS7201,29-04-2002,HINDU,CLOUD COMPUTING,110,3rd,TAGORE,215,7133508752,akritisingh@gmail.com,"LAKHIMPUR KHERI, UP",UP
NATANSHA MALKOVA,FEMALE,21BCS7211,28-12-2003,CHRISTAN,GRAPHIC AND VISUAL,102,2nd,TAGORE,216,6519832203,natshamalkova@gmail.com,"MOTIHARI, BR",BR
JUHI CHAUHAN,FEMALE,21BCS7449,31-03-1997,HINDU,AIML,111,4th,TAGORE,217,9738453337,juhichauhan@gmail.com,"LKO, UP",UP
FAYAL KHAN,FEMALE,21BCS7475,19-11-1997,MUSLIM,CSE,201,5th,SUKHNA,120,3166834155,fayalkhan@gmail.com,"HISAR, HR",HR
GAL GADOT,FEMALE,21BCS7492,30-06-1997,CHRISTAN,CSE,201,5th,SUKHNA,119,2032323325,galgadot@gmail.com,"YAMUNANAGAR, HR",HR
EMMA WATSON,FEMALE,21BCS7493,23-01-1998,CHRISTAN,AIML,176,6th,TAGORE,225,5807550089,emmawatson@gmail.com,"Paris, France ",Paris
ATUL JHAH,MALE,21BCS7502,04-09-2000,HINDU,AIML,126,5th,LC-2,512,4236121076,atuljhah@gmail.com,"GOLA, UP",UP
PRIYANSH MUKHERJEE,MALE,21BCS1078,28-08-2000,HINDU,CLOUD COMPUTING,101,6th,LC-1,503,3152472951,priyanshmukherjee@gmail.com,"LAKHIMPUR KHERI, UP",UP
IKBAL KHAN,MALE,21BCS1165,25-09-1999,MUSLIM,GRAPHIC AND VISUAL,101,1st,LC-2,217,9726416138,ikbalkhan@gmail.com,"LKO, UP",UP
